coin_name,action,n,avg_edge,min_edge,max_edge,avg_market_prob,avg_spread
BNB,edge_too_small,267,-0.17453183520599250936,-4.9,6.2,45.32771535580524317,0.05742322097378276948
BNB,spread_too_wide,133,0.00000000000000000000,0.0,0.0,52.9469924812030071,0.22343609022556389338
BNB,too_close_to_expiry,62,0.00000000000000000000,0.0,0.0,47.56290322580644973,0.00000000000000000000
BNB,model_market_disagreement_too_large,22,0.00000000000000000000,0.0,0.0,64.4931818181818177,
BNB,edge_ratio_too_small,18,4.7111111111111111,3.0,7.7,54.4166666666666644,0.05611111111111110789
BNB,blocked_contrarian_cheap_yes,8,5.2875000000000000,3.4,8.3,10.6937500000000002,0.04562500000000000575
BNB,entry_too_expensive_for_ttl,7,5.3000000000000000,3.6,8.5,31.0000000000000029,0.05714285714285712914
BNB,blocked_contrarian_cheap_no,5,6.6200000000000000,4.3,7.9,84.6000000000000000,0.05600000000000000000
BNB,positive_ev_direction_agreement_signal,2,6.0000000000000000,5.5,6.5,54.2500000000000020,0.07500000000000000000
BNB,blocked_spot_strike_deadzone,2,6.4000000000000000,5.8,7.0,68.0000000000000000,0.05999999999999999800
BNB,per_coin_cap_reached,1,0.00000000000000000000,0,0,,
BTC,edge_too_small,352,2.0099431818181818,-1.0,9.9,47.51534090909090904,0.01029545454545454614
BTC,too_close_to_expiry,61,0.00000000000000000000,0.0,0.0,54.33032786885245869,0.00000000000000000000
BTC,edge_ratio_too_small,34,4.3058823529411765,3.1,8.3,46.3823529411764706,0.01176470588235294350
BTC,entry_too_expensive_for_ttl,18,5.1166666666666667,3.1,7.8,32.4444444444444447,0.01122222222222221382
BTC,model_market_disagreement_too_large,16,0.00000000000000000000,0.0,0.0,77.0656250000000000,
BTC,blocked_contrarian_cheap_no,15,5.5066666666666667,3.0,9.7,86.7233333333333333,0.00833333333333333009
BTC,blocked_contrarian_cheap_yes,11,6.0909090909090909,3.2,13.9,15.0545454545454547,0.00745454545454545490
BTC,positive_ev_direction_agreement_signal,7,7.0714285714285714,4.9,10.2,49.2857142857142863,0.01142857142857142857
BTC,blocked_spot_strike_deadzone,6,7.8166666666666667,6.4,9.5,61.4166666666666667,0.01166666666666663983
BTC,yes_too_expensive_for_known_bias,4,8.1750000000000000,4.6,10.5,49.3749999999999950,0.01249999999999995575
BTC,duplicate_market_position,3,8.2333333333333333,6.3,9.6,43.0000000000000000,0.01333333333333333333
DOGE,edge_too_small,363,-0.07548209366391184573,-4.8,6.2,48.25399449035812682,0.05074380165289256422
DOGE,too_close_to_expiry,65,0.00000000000000000000,0.0,0.0,48.18384615384615341,0.00000000000000000000
DOGE,spread_too_wide,54,0.00000000000000000000,0.0,0.0,51.9814814814814813,0.21851851851851849722
DOGE,edge_ratio_too_small,10,4.5000000000000000,3.0,7.7,47.0499999999999994,0.03699999999999998820
DOGE,positive_ev_direction_agreement_signal,8,5.1125000000000000,3.2,6.5,38.2562500000000003,0.05237500000000000000
DOGE,model_market_disagreement_too_large,7,0.00000000000000000000,0.0,0.0,36.7928571428571430,
DOGE,blocked_contrarian_cheap_no,6,4.1500000000000000,3.0,5.5,94.7083333333333333,0.03516666666666666950
DOGE,duplicate_market_position,5,6.4600000000000000,4.9,9.2,66.4000000000000000,0.04800000000000000000
DOGE,yes_too_expensive_for_known_bias,3,6.1333333333333333,4.0,8.2,50.0000000000000000,0.03999999999999997800
DOGE,blocked_contrarian_cheap_yes,3,3.5666666666666667,3.0,3.9,6.2833333333333335,0.05833333333333333333
DOGE,entry_too_expensive_for_ttl,2,7.3000000000000000,3.8,10.8,62.2499999999999950,0.05499999999999993500
DOGE,blocked_spot_strike_deadzone,1,7.0000000000000000,7.0,7.0,66.5000000000000000,0.04999999999999999000
ETH,edge_too_small,377,0.85358090185676392573,-3.7,8.0,48.28594164456233431,0.02551724137931034504
ETH,too_close_to_expiry,61,0.00000000000000000000,0.0,0.0,52.31639344262295033,0.00000000000000000000
ETH,edge_ratio_too_small,16,4.4687500000000000,3.3,7.4,53.2499999999999999,0.02375000000000000038
ETH,duplicate_market_position,14,6.7214285714285714,4.0,10.1,33.2500000000000007,0.02500000000000000000
ETH,positive_ev_direction_agreement_signal,13,7.0230769230769231,4.2,11.3,42.7307692307692308,0.01769230769230769231
ETH,model_market_disagreement_too_large,12,0.00000000000000000000,0.0,0.0,39.7208333333333332,
ETH,yes_too_expensive_for_known_bias,11,5.7818181818181818,3.6,8.1,49.5909090909090918,0.02636363636363636709
ETH,blocked_contrarian_cheap_no,6,3.7666666666666667,3.2,4.9,93.2000000000000000,0.02166666666666666510
ETH,spread_too_wide,6,0.00000000000000000000,0.0,0.0,51.5000000000000000,0.28333333333333331833
ETH,blocked_contrarian_cheap_yes,4,4.7250000000000000,3.6,7.6,3.5499999999999999,0.01150000000000000010
ETH,blocked_spot_strike_deadzone,3,6.0000000000000000,5.1,6.6,30.8333333333333333,0.02333333333333332633
ETH,entry_too_expensive_for_ttl,2,6.8000000000000000,5.5,8.1,56.2500000000000000,0.03499999999999992050
ETH,blocked_direction_disagreement_yes,1,7.3000000000000000,7.3,7.3,14.0000000000000020,0.01999999999999999000
ETH,blocked_direction_disagreement_no,1,5.2000000000000000,5.2,5.2,80.5000000000000000,0.03000000000000000000
HYPE,edge_too_small,310,-0.43322580645161290323,-4.9,7.3,53.21758064516129012,0.05704193548387096571
HYPE,spread_too_wide,116,0.00000000000000000000,0.0,0.0,56.6793103448275863,0.22125862068965515655
