scan_time,strategy_name,coin_name,action,side,entry_price,edge_cents,edge_ratio,confidence,market_prob,model_fair_yes,fair_yes,fair_no,volatility,spread,open_interest,ttl_minutes,strike_price,spot_price,trade_id,resolved_yes,result
2026-05-17 16:02:00.756-07,crypto_intel_prod,SOL,positive_ev_direction_agreement_signal,yes,0.31,6.6,0.211,0.38,30.5,0.40176694992506257,0.37550135599700574,0.6244986440029943,0.508471505330116,0.01,170.44,13.051869433333334,86.1693,86.115,556,f,no
2026-05-17 16:16:11.308008-07,crypto_intel_prod,ETH,positive_ev_direction_agreement_signal,yes,0.13,11.3,0.868,0.55,12.5,0.2805018400519522,0.2428573389026399,0.7571426610973601,0.7016806806568112,0.01,1410.93,13.85225565,2172.59,2168.045,557,f,no
2026-05-17 16:16:11.7003-07,crypto_intel_prod,SOL,positive_ev_direction_agreement_signal,yes,0.18,9.7,0.538,0.45,16.0,0.3142815741705647,0.27685874735034316,0.7231412526496568,1.0204565687555398,0.04,413.36,13.839221783333333,86.0527,85.835,558,f,no
2026-05-17 16:16:12.07475-07,crypto_intel_prod,XRP,positive_ev_direction_agreement_signal,yes,0.18,4.4,0.245,0.35,17.0,0.24139612764623702,0.22405067069015344,0.7759493293098465,0.8984282280361795,0.02,571.98,13.828725083333334,1.4091,1.40455,559,f,no
2026-05-17 16:17:22.293601-07,crypto_intel_prod,DOGE,positive_ev_direction_agreement_signal,yes,0.22,4.6,0.208,0.25,19.0,0.29588495214805943,0.2656664482369411,0.7343335517630589,1.5795680616091108,0.06,215.43,12.671182483333332,0.109143,0.10869,560,t,yes
2026-05-17 16:23:11.498141-07,crypto_intel_prod,ETH,positive_ev_direction_agreement_signal,no,0.21,4.4,0.209,0.4,80.5,0.6875047419858863,0.7460385328479495,0.2539614671520505,0.7562655880012539,0.03,7216.58,6.867817433333333,2172.59,2175.495,561,f,no
2026-05-17 16:34:40.566145-07,crypto_intel_prod,XRP,positive_ev_direction_agreement_signal,no,0.28,7.5,0.27,0.43,72.5,0.5973297791891266,0.6445000734787799,0.3554999265212201,0.9090860592024692,0.01,322.52,10.37809565,1.4056,1.407,562,f,no
2026-05-17 16:37:00.653182-07,crypto_intel_prod,SOL,positive_ev_direction_agreement_signal,yes,0.24,4.6,0.193,0.35,23.5,0.32885442182966546,0.28620335743957476,0.7137966425604252,0.625466268858045,0.01,351.38,8.060767683333333,85.738,85.645,563,f,no
2026-05-17 16:46:35.285277-07,crypto_intel_prod,DOGE,positive_ev_direction_agreement_signal,no,0.35,5.4,0.155,0.17,70.0,0.5597072667543219,0.5957765381909546,0.40422346180904545,4.101685916859298,0.1,54.7,13.442725383333334,0.107335,0.10767,564,t,yes
2026-05-17 16:48:52.799629-07,crypto_intel_prod,SOL,positive_ev_direction_agreement_signal,no,0.27,11.1,0.41,0.42,73.5,0.5596089299391425,0.619191292559166,0.38080870744083395,3.208586578662015,0.01,569.37,11.189686499999999,84.4423,84.63,565,t,yes
2026-05-17 16:51:12.324701-07,crypto_intel_prod,HYPE,positive_ev_direction_agreement_signal,yes,0.25,6.1,0.244,0.41,23.0,0.3710937289708126,0.31088093799072053,0.6891190620092795,3.2703165874068474,0.04,121.5,8.81570765,45.2439,45.045,566,t,yes
2026-05-17 16:52:24.03771-07,crypto_intel_prod,BTC,positive_ev_direction_agreement_signal,no,0.35,6.0,0.171,0.48,65.5,0.5327625609393177,0.5900061323405519,0.4099938676594481,1.8872331158734448,0.01,84103.47,7.682776649999999,77191.64,77237.445,567,t,yes
2026-05-17 17:01:45.916506-07,crypto_intel_prod,SOL,positive_ev_direction_agreement_signal,yes,0.25,6.4,0.255,0.38,24.5,0.33833911708928033,0.3138730414273202,0.6861269585726798,1.4263433380845731,0.01,201.83,13.3058105,85.1695,84.915,568,f,no
2026-05-17 17:01:46.290342-07,crypto_intel_prod,ETH,positive_ev_direction_agreement_signal,yes,0.33,5.5,0.168,0.43,32.0,0.40871741180943866,0.3854967866510288,0.6145032133489712,2.187150647239033,0.02,737.04,13.316264883333334,2129.53,2124.125,569,f,no
2026-05-17 17:04:05.311463-07,crypto_intel_prod,XRP,positive_ev_direction_agreement_signal,yes,0.26,5.0,0.191,0.35,25.0,0.3414959457211813,0.3096544140748916,0.6903455859251084,1.244837607871816,0.02,395.11,10.963355416666667,1.4014,1.39815,570,f,no
2026-05-17 17:17:34.502488-07,crypto_intel_prod,ETH,positive_ev_direction_agreement_signal,no,0.31,6.3,0.204,0.48,69.5,0.5987314020470909,0.6268628966357364,0.37313710336426364,2.2113131895335676,0.01,1069.02,12.4849417,2117.69,2123.405,571,f,no
